"都道府県","変更前","変更後","変更日","典拠"
"山梨県","南巨摩郡増穂町","南巨摩郡富士川町","平成22年3月8日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","鰍沢町","南巨摩郡富士川町","平成22年3月8日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡芦川村","笛吹市","平成18年8月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡小淵沢町","北杜市","平成18年3月15日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡上九一色村（分村：富士ケ嶺・本栖・精進）","南都留郡富士河口湖町","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡中道町","甲府市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡上九一色村（分村：梯・古関）","甲府市","平成18年3月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡豊富村","中央市","平成18年2月20日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡玉穂町","中央市","平成18年2月20日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡田富町","中央市","平成18年2月20日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","塩山市","甲州市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東山梨郡勝沼町","甲州市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東山梨郡大和村","甲州市","平成17年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡三珠町","西八代郡市川三郷町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡市川大門町","西八代郡市川三郷町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡六郷町","西八代郡市川三郷町","平成17年10月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東山梨郡牧丘町","山梨市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東山梨郡三富村","山梨市","平成17年3月22日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南都留郡秋山村","上野原市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北都留郡上野原町","上野原市","平成17年2月13日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡明野村","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡須玉町","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡高根町","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡長坂町","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡大泉村","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡白州町","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡武川村","北杜市","平成16年11月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東山梨郡春日居町","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡石和町","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡御坂町","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡一宮町","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡八代町","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","東八代郡境川村","笛吹市","平成16年10月12日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","西八代郡下部町","南巨摩郡身延町","平成16年9月13日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南巨摩郡中富町","南巨摩郡身延町","平成16年9月13日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南巨摩郡身延町","南巨摩郡身延町","平成16年9月13日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡竜王町","甲斐市","平成16年9月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡敷島町","甲斐市","平成16年9月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","北巨摩郡双葉町","甲斐市","平成16年9月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡芦安村","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡櫛形町","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡甲西町","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡白根町","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡八田村","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","中巨摩郡若草町","南アルプス市","平成15年4月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南巨摩郡富沢町","南巨摩郡南部町（旧富沢町域のみ掲載）","平成15年3月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南巨摩郡南部町","南巨摩郡南部町（旧富沢町域のみ掲載）","平成15年3月1日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南都留郡河口湖町","南都留郡富士河口湖町","平成15年11月15日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南都留郡足和田村","南都留郡富士河口湖町","平成15年11月15日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
"山梨県","南都留郡勝山村","南都留郡富士河口湖町","平成15年11月15日","https://www.post.japanpost.jp/zipcode/merge/yamanashi.html"
